order_id,customer_id,product_id,order_date,quantity,order_value,order_status,discount_amount,payment_method
O0001,C001,P005,2023-03-06,1,876.46,Completed,0.0,Bank Transfer
O0002,C001,P001,2023-08-22,1,1078.82,Completed,190.38,Bank Transfer
O0003,C001,P009,2023-11-25,2,165.89,Completed,0.0,Card
O0004,C001,P005,2024-01-31,1,673.48,Completed,0.0,PayPal
O0005,C001,P004,2024-12-05,1,423.28,Completed,0.0,PayPal
O0006,C002,P010,2023-03-03,1,132.93,Completed,0.0,PayPal
O0007,C002,P003,2023-04-24,1,296.19,Completed,15.59,Card
O0008,C003,P011,2023-01-12,1,172.42,Completed,0.0,Bank Transfer
O0009,C003,P007,2023-01-27,1,550.05,Returned,61.12,Bank Transfer
O0010,C003,P006,2024-02-18,1,86.12,Completed,0.0,PayPal
O0011,C003,P004,2024-02-27,1,328.84,Completed,0.0,Bank Transfer
O0012,C004,P003,2023-02-13,1,430.97,Completed,22.68,PayPal
O0013,C004,P009,2023-03-20,1,75.84,Completed,0.0,Card
O0014,C004,P007,2023-10-21,3,1500.82,Cancelled,0.0,Card
O0015,C004,P010,2024-02-04,1,173.45,Completed,0.0,PayPal
O0016,C004,P003,2024-05-23,1,446.51,Completed,23.5,Card
O0017,C005,P003,2023-02-03,1,297.13,Completed,33.01,Card
O0018,C005,P003,2023-04-11,1,334.82,Completed,17.62,PayPal
O0019,C006,P006,2023-08-29,1,74.21,Returned,8.24,PayPal
O0020,C006,P006,2023-09-02,2,182.84,Completed,9.62,Card
O0021,C006,P005,2024-03-17,1,531.21,Cancelled,93.74,Bank Transfer
O0022,C007,P006,2023-05-15,1,78.47,Completed,0.0,Bank Transfer
O0023,C007,P005,2023-08-04,1,548.76,Completed,60.97,Card
O0024,C007,P011,2023-10-12,1,149.74,Completed,16.64,Card
O0025,C007,P012,2024-04-14,1,88.74,Returned,15.66,Card
O0026,C008,P011,2023-07-30,2,413.62,Completed,21.77,Bank Transfer
O0027,C008,P001,2023-10-18,2,2700.55,Cancelled,0.0,Card
O0028,C008,P006,2024-01-02,1,88.74,Completed,0.0,PayPal
O0029,C008,P002,2024-03-13,2,297.56,Completed,33.06,Card
O0030,C008,P005,2024-05-07,1,685.93,Completed,0.0,Card
O0031,C009,P005,2023-03-03,2,1205.88,Returned,0.0,PayPal
O0032,C009,P008,2023-06-18,3,336.45,Completed,0.0,Card
O0033,C009,P008,2023-10-01,2,269.79,Completed,0.0,Bank Transfer
O0034,C009,P003,2024-04-14,2,659.52,Completed,34.71,Card
O0035,C010,P002,2023-03-08,1,138.24,Cancelled,15.36,PayPal
O0036,C010,P002,2024-02-16,2,296.79,Completed,0.0,Bank Transfer
O0037,C010,P001,2024-03-09,1,981.41,Completed,109.05,Bank Transfer
O0038,C011,P005,2023-01-24,2,1099.14,Completed,57.85,Card
O0039,C011,P003,2023-05-29,1,342.93,Completed,18.05,Bank Transfer
O0040,C011,P004,2023-11-12,1,317.97,Returned,0.0,Bank Transfer
O0041,C011,P006,2024-11-12,1,86.89,Completed,9.65,Bank Transfer
O0042,C012,P001,2023-02-01,1,998.34,Completed,176.18,PayPal
O0043,C012,P012,2023-08-02,2,214.07,Completed,0.0,Bank Transfer
O0044,C012,P011,2024-11-22,1,177.79,Completed,0.0,Card
O0045,C012,P004,2024-12-19,1,274.88,Returned,48.51,Bank Transfer
O0046,C013,P005,2024-01-09,1,662.3,Cancelled,0.0,Bank Transfer
O0047,C013,P009,2024-03-06,1,65.08,Completed,11.49,Bank Transfer
O0048,C013,P003,2024-06-06,1,407.13,Completed,0.0,PayPal
O0049,C013,P011,2024-12-23,1,191.84,Completed,0.0,PayPal
O0050,C014,P011,2024-01-18,2,329.35,Completed,0.0,Bank Transfer
O0051,C014,P006,2024-04-21,1,63.89,Completed,3.36,PayPal
O0052,C015,P002,2023-04-18,1,141.79,Returned,25.02,Card
O0053,C015,P008,2023-07-01,3,420.5,Cancelled,0.0,Bank Transfer
O0054,C015,P008,2024-09-24,1,145.26,Completed,0.0,Bank Transfer
O0055,C015,P005,2024-11-04,1,522.77,Returned,92.25,Card
O0056,C015,P012,2024-11-10,1,110.52,Completed,0.0,Card
O0057,C016,P003,2023-11-29,1,369.55,Cancelled,0.0,Bank Transfer
O0058,C016,P004,2024-02-18,1,297.86,Completed,0.0,Bank Transfer
O0059,C017,P011,2023-06-09,1,163.06,Cancelled,28.78,PayPal
O0060,C017,P007,2023-10-11,1,572.11,Returned,0.0,Card
O0061,C017,P006,2023-12-25,1,77.26,Completed,8.58,PayPal
